title,q_ref,label,c_ref,count,score,price
2011 GREAT Please select your *color tone*:,3ea07a99-e0f4-4b1a-9bfc-61b0154255c0,Red Beige kW),d3538f4c-ac50-4d57-8cbc-ded4a9a44186,2,5,30
2011 GREAT Please select your *color tone*:,3ea07a99-e0f4-4b1a-9bfc-61b0154255c0,Salmon Beige kW),3ba5b2ce-c124-4355-b077-f5478c5bda41,2,5,30
2011 BAD Please select your *color tone*:,4528f6e7-8af7-437b-8d98-0e28c7dfbc7a,Blue Azure kW),d3538f4c-ac50-4d57-8cbc-ded4a9a44186,2,5,30
2011 BAD Please select your *color tone*:,4528f6e7-8af7-437b-8d98-0e28c7dfbc7a,Blue Coastal kW),3ba5b2ce-c124-4355-b077-f5478c5bda41,2,5,30
2012 GREAT SPECIAL NO Please select your *color tone*:,1c1e048b-4cc1-46ff-bdf8-6b0e32a515be,Red Beige kW),972ab1f6-0429-4263-9e52-e144e72e6287,1,5,30
2012 GREAT SPECIAL NO Please select your *color tone*:,1c1e048b-4cc1-46ff-bdf8-6b0e32a515be,Salmon Beige kW),06cc56b3-2495-4f5f-a908-6afe6e53c7a8,1,5,30
2013 GREAT SPECIAL PLURAL YES Please select your *color tone*:,14367df2-63f6-4b0b-a5b8-ecf36f6fd700,Rose Red kW),3cc84796-59b9-4391-b0ab-c02c9bd05d36,1,5,30
2013 GREAT SPECIAL PLURAL YES Please select your *color tone*:,14367df2-63f6-4b0b-a5b8-ecf36f6fd700,Rose Salmon kW),bfef2478-fd8d-4151-a88b-8ecf91d50d58,1,5,30
2013 GREAT SPECIAL PLURAL NO Please select your *color tone*:,c75181f9-1f08-40d3-88f3-72df234e4dc6,Rose Red 2 kW),30de912e-27d7-4b89-bf99-c89711c8cf6f,1,5,30
2013 GREAT SPECIAL PLURAL NO Please select your *color tone*:,c75181f9-1f08-40d3-88f3-72df234e4dc6,Rose Salmon 2 kW),31e69975-4ead-4ab6-95b6-396a1a7c6b7a,1,5,30
Please select your *preferred shipping*:,ab3157ab-0bc4-4ef8-8776-5d9ee627a4df,Fast Y1,4cb4de1c-de2f-460a-b70b-9469202b7773,1,5,30
Please select your *preferred shipping*:,ab3157ab-0bc4-4ef8-8776-5d9ee627a4df,Insured Y2,4867b4eb-1a1f-4787-8692-0b74af9be168,1,5,30
Please select your *preferred shipping*:,ab3157ab-0bc4-4ef8-8776-5d9ee627a4df,Tracking Y3,9b50f8a4-2aab-4dfa-a80a-821918a87f48,1,5,30
Thanks! We've calculated that your order amounts to {{var:price}}. Your order amount is {{var:score}}. Please select your packaging:,02b4f037-5206-4613-9498-a42744c9b964,Simple Z1,e42630e8-d05b-436f-b4c5-e2b5d729f473,1,5,30
Thanks! We've calculated that your order amounts to {{var:price}}. Your order amount is {{var:score}}. Please select your packaging:,02b4f037-5206-4613-9498-a42744c9b964,Secure Z2,9728d94c-270c-4183-80f7-cd97cb5c35dd,1,5,30
Thanks! We've calculated that your order amounts to {{var:price}}. Your order amount is {{var:score}}. Please select your packaging:,02b4f037-5206-4613-9498-a42744c9b964,Box Z3,280552f0-7fd9-4e5c-aa53-8a806efa4511,1,5,30
